"filename", "language", "JSON", "Markdown", "YAML", "Shell Script", "JavaScript", "CSS", "Docker", "HTML", "comment", "blank", "total"
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\add-patient-to-ct-queue.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\assign-bed.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 6, 8, 33
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\assign-computer.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 2, 8, 29
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\assign-patient-to-triage-nurse-thesis.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 1, 11, 40
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\assign-patient-to-triage-nurse.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 0, 6, 18, 70
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\back-and-forth.js", "JavaScript", 0, 0, 0, 0, 54, 0, 0, 0, 11, 12, 77
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\computer-assign-patient-room.js", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 0, 27, 13, 91
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\computer-enter-patient.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 16, 13, 56
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\computer-score-patient.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 21, 14, 57
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\follow-instructions-thesis.js", "JavaScript", 0, 0, 0, 0, 91, 0, 0, 0, 16, 22, 129
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\follow-instructions.js", "JavaScript", 0, 0, 0, 0, 101, 0, 0, 0, 14, 21, 136
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\behavior\get-computer-responsibility.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 0, 7, 15, 61
